ID,z,d (Mpc),v (km/s),m,M,H (m s-1 Mpa-1)
ANTENNAE,0.005593,27.900,1676.737,10.91,-21.32,60.098
CENTAURUS A,0.001826,4.900,547.420,6.84,-21.61,111.718
IC 2378,0.050360,213.000,15097.525,15.30,-21.34,70.880
LGS 3,0.000955,1.198,286.301,14.30,-11.09,238.983
M31,-0.001000,778.000,-299.792,3.40,-36.05,-0.385
M32,-0.000664,763.000,-199.062,8.10,-31.31,-0.261
M33,-0.000598,835.000,-179.276,5.70,-33.91,-0.215
M49,0.003339,17.700,1001.005,8.40,-22.84,56.554
M58,0.005047,19.100,1513.050,9.66,-21.75,79.217
M60,0.003690,16.800,1106.232,8.80,-22.33,65.847
M61,0.005240,16.100,1570.910,9.65,-21.38,97.572
M66,0.002340,11.000,701.513,8.90,-21.31,63.774
M74,0.002188,9.200,655.945,9.40,-20.42,71.298
M77,0.003810,14.400,1142.208,8.90,-21.89,79.320
M84,0.003369,18.400,1009.999,9.10,-22.22,54.891
M87,0.004233,18.400,1269.020,8.60,-22.72,68.968
M88,0.007602,14.410,2279.019,9.60,-21.19,158.155
M94,0.000960,4.910,287.800,8.20,-20.26,58.615
M95,0.002595,10.000,777.960,9.70,-20.30,77.796
M96,0.003012,9.600,902.974,9.30,-20.61,94.060
M99,0.008036,15.400,2409.129,9.90,-21.04,156.437
M100,0.005250,16.860,1573.908,9.40,-21.73,93.352
M104,0.003642,8.980,1091.842,8.00,-21.77,121.586
M105,0.002922,9.800,875.992,9.30,-20.66,89.387
M106,0.001541,7.000,461.979,8.40,-20.83,65.997
M108,0.002328,14.100,697.916,10.00,-20.75,49.498
M110,-0.000820,824.000,-245.829,8.10,-31.48,-0.298
NGC 300,0.000487,1.980,145.999,8.13,-18.35,73.737
NGC 891,0.001761,9.120,527.934,10.10,-19.70,57.887
NGC 1260,0.018400,77.000,5516.173,13.53,-20.90,71.639
NGC 1270,0.016690,53.700,5003.528,13.32,-20.33,93.176
NGC 1272,0.012850,53.700,3852.327,13.66,-19.99,71.738
NGC 1275,0.017560,68.900,5264.348,12.48,-21.71,76.406
NGC 1316,0.005911,16.900,1772.071,8.53,-22.61,104.856
NGC 1512,0.002782,14.300,834.021,10.32,-20.46,58.323
NGC 1672,0.004464,14.500,1338.271,9.68,-21.13,92.295
NGC 1705,0.002112,6.000,633.161,12.39,-16.50,105.527
NGC 3079,0.003566,22.600,1069.058,10.86,-20.91,47.303
NGC 3115,0.002222,13.300,666.138,9.90,-20.72,50.086
NGC 3226,0.004230,23.400,1268.120,13.33,-18.52,54.193
NGC 3227,0.003650,23.700,1094.241,11.79,-20.08,46.170
NGC 3310,0.003366,22.900,1009.100,12.15,-19.65,44.065
NGC 3370,0.004276,31.200,1281.911,12.40,-20.07,41.087
NGC 3808,0.023603,116.000,7075.991,14.10,-21.22,61.000
NGC 4005,0.014890,81.200,4463.903,13.44,-21.11,54.974
NGC 4556,0.025221,114.000,7561.054,14.40,-20.88,66.325
NGC 4860,0.026470,67.600,7935.494,13.24,-20.91,117.389
NGC 4881,0.022526,127.000,6753.115,13.56,-21.96,53.174
NGC 5643,0.003990,16.900,1196.170,13.60,-17.54,70.779
NGC 6907,0.010649,45.000,3192.485,11.30,-21.97,70.944
3C 273 0,0.158340,657.800,47469.065,-,-,72.163
ESO 254-3 0,0.052690,231.140,15796.040,-,-,68.340
ESO 410-6 0,0.109340,440.550,32779.257,-,-,74.405
IC 2378,0.050360,213.000,15097.525,-,-,70.880
LEDA 1163616 0,0.112640,481.640,33768.571,-,-,70.112
LEDA 2816758 0,0.177800,736.600,53303.018,-,-,72.364
MGC-02-02-026 0,0.054000,193.410,16188.768,-,-,83.702
MGC-03-03-004 0,0.055180,197.485,16542.523,-,-,83.766
Mrk 540 0,0.071140,304.790,21327.203,-,-,69.973
